Column1,Type,Phylum,Class,Order,Family,Genus,Species,Human,Zoonotic,Domestic,Wildlife,HostGroup,HostOrder,HostFamily,HostSpecies,HostName,Association,Method,Reference,PMID,Additional,Synonym,Disease,Taylor,Emerging,Emerging.Source,VectorBorne,GramStain,Motility,Spore,Oxygen,Cell,Infection,Abbreviation,Strain,Genome,Gsize,ProteinCount,PercentGC,HostSpeciesPHB,HostSpecies.new,N.genomes,Genome.size,Genome.GC,Genome.genes
1,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum massiliense,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Greub & Raoult 2002,12409355,,Actinobaculum massiliae,,No,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.06519,60.2,1784
2,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum suis,No,No,Yes,No,Ungulates,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,Pathogenic,Isolation,Percy et al. 1966,6010034,12440789,Eubacterium suis; Corynebacterium suis; Actinomyces suis,,No,No,,No,Gram-positive,Non-motile,No,Anaerobic,,NA,NA,NA,NA,NA,NA,NA,Susscrofadomesticus,Sus scrofa domesticus,4,2.2774325,57.8,1852
3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces bovis,Yes,Yes,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,,21658111,,Streptothrix bovis; Nocardia bovis; Actinocladothrix bovis,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,1,2.59557,64.1,2199
4,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces bovis,Yes,Yes,No,Yes,Ungulates,Artiodactyla,Bovidae,Ovis canadensis,Bighorn sheep,Pathogenic,Pathology,,11272503,,Streptothrix bovis; Nocardia bovis; Actinocladothrix bovis,Lumpy jaw; Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Oviscanadensis,Ovis canadensis,1,2.59557,64.1,2199
5,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces bovis,Yes,Yes,No,Yes,Ungulates,Artiodactyla,Bovidae,Ovis dalli,Dall's sheep,Pathogenic,Pathology,,11272503,,Streptothrix bovis; Nocardia bovis; Actinocladothrix bovis,Lumpy jaw; Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Ovisdalli,Ovis dalli,1,2.59557,64.1,2199
6,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces bovis,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Bovidae,Bos taurus,Domestic cattle,Pathogenic,Isolation,,20475838,,Streptothrix bovis; Nocardia bovis; Actinocladothrix bovis,Lumpy jaw; Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Bostaurus,Bos taurus,1,2.59557,64.1,2199
7,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces bovis,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Bovidae,Ovis aries,Domestic sheep,Pathogenic,Pathology,,11272503,,Streptothrix bovis; Nocardia bovis; Actinocladothrix bovis,Lumpy jaw; Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Ovisaries,Ovis aries,1,2.59557,64.1,2199
8,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces bovis,Yes,Yes,Yes,No,Ungulates,Artiodactyla,Camelidae,Lama glama,Llama,Pathogenic,Pathology,Camenzind 2005,16128440,,Streptothrix bovis; Nocardia bovis; Actinocladothrix bovis,Lumpy jaw; Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Lamaglama,Lama glama,1,2.59557,64.1,2199
10,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces cardiffensis,Yes,No,No,No,Human,Primates,Hominidae,Homo sapiens,Human,Pathogenic,Isolation,Hall et al. 2002,22445645,,,Actinomycosis,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Homosapiens,Homo sapiens,0,NA,NA,NA
13,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces denticolens,No,No,Yes,No,Ungulates,Perissodactyla,Equidae,Equus caballus,Horse,Pathogenic,Isolation,,22043071,,,,No,No,,No,Gram-positive,Non-motile,No,Facultatively anaerobic,,NA,NA,NA,NA,NA,NA,NA,Equuscaballus,Equus caballus,4,2.84394,71.35,2393.75
